客户ID,客服ID,消息内容,发送方,发送时间,对话ID,session_abs,session_tag
wmFS0DDgAA2hRyeA9lC5O2WTsZGbffsg,17308401160,【活跃提醒】【福利】亲亲，3日内使用任意流量，可获赠500M流量，预计3个工作日内生效。期待您的参与，不清楚参与活动号码及详情可以咨询客服哦！登录互联网卡专区（ https://flow.hn.189.cn/hnfx/hkly/autos?clientid=WXHL77 ）签到可得话费流量！,0,2023/12/8 18:32,7,,
wmFS0DDgAAwwMuTWnfB4SnvWoYWQYT5w,17308401160,"亲亲之前给您发信息，一直没有收到您的回复留言[可怜]
是什么问题没有使用呢，啥问题都可以讲出来呀，客服也要听从您的意见建议才能改变进步，也是为了更好的服务您。
充值点击链接：t.hn.189.cn/ltcz，复机成功后可以联系客服领取神秘礼物噢
（如您已复机，请忽略本次提醒，很抱歉打扰到您）

复机后参与湘粉福利社赢话费活动，1-100元随机话费红包、权益礼包发放中，活动参与链接(  a.189.cn/U7FZ7e ），数量有限先到先得哦。",0,2023/7/15 14:15,8,,
wmFS0DDgAAwwMuTWnfB4SnvWoYWQYT5w,17308401160,"【停机小贴士】尊嘟假嘟（吃惊）！亲亲您的号码已经欠费停机好几天啦！！！现在已经不能拨打和接听电话了哦！！
可得赶快缴清欠费，不然影响使用就不好了哦~立即充值请点击：t.hn.189.cn/ltcz  复机后可以联系客服领取神秘礼物，使用中有任何问题也可以发给我哦
（如您已复机，请忽略本次提醒，抱一丝，很抱歉打扰到您）",0,2023/8/14 10:32,8,,
wmFS0DDgAAwwMuTWnfB4SnvWoYWQYT5w,17308401160,"{""appName"":""微乐捉鸡麻将"",""appid"":""wx42d9f2c54689a299"",""bThumbData"":""CpkGCsgEaHR0cHM6Ly9pbXVuaW9uLndlaXhpbi5xcS5jb20vY2dpLWJpbi9tbWFlLWJpbi90cGRvd25sb2FkbWVkaWE/cGFyYW09djFfMTgzNjNmYTU1Yzg5NjZmZjFhMmM3Mzc2MzhkYmVkMjBjYmE3NWIwYTQyN2M0M2YxNDE4N2Y1YmEyNDRiODlhYzhlODRmMzljNTRlMTgyMWU2MTVmYjFmODYzZmUwZWJjMDY2ODAzYmZkYmNkMjg3M2E2OTIxYzI4NjEyYzk3ZGU2NGRmN2I5YmUzNDc0YzlmY2FhYzQ1Njc1NzljMDU1ODc4YjcyYTljYWE5ODBkMWU2OWU0YTFiZjVjMzFkNzQ1M2JjYTkxODQyNWJlZDFmNjBhMjQ5ZGU4MDc5MzAwYjI0OTY5ODNkOGY4MTM5NjVkMjRjNGIwM2FkYzg5ZWZmODE4NTVlZDQ4YTRkOGNmYmNlZjQ0ZGEyZjYzMjRhNDc0NTcxYjQwZjA0MGU5MTA2ZTMyMDAwMTYzY2FhZjJiOGMxNDlhYTdhZGEyZjMwMjMzNzMwZDNjOGJiOWQ3MmZmNmFjNzI0YzI3YjdkZWVlZGIwZmJhOWZjZGRjMTg0MzZiOWM2YjBiOTM1YTBmN2Y3N2FkYjg0YTZkMjJlYjhmMjQ4YTM3OGRjNzdkMzU3ZDU2ZjcxZTQzNGJkODAyNzRmYmJmNjg5ZmFiZmVkYjI4NmIwODI0MTI3NDc0ODUyYjc2NzhjZTM1ODE0ZGU3ODc0YmFiM2QxNzlmZTYwNTZlMWYSIDEwMzAwMjgxNjc2Y2Q0MDIzYzczYjQ3NDY0OWI4YzA2GoMBdjFfMTgzNjNmYTU1Yzg5NjZmZjFhMmM3Mzc2MzhkYmVkMjBjYmE3NWIwYTQyN2M0M2YxNDE4N2Y1YmEyNDRiODlhYzU5MmNkYWQwZTViNDY4N2MxMGY4M2NmN2ZjMjFkM2NjOWRiNjJkMTBmMTgyNmExNDFhY2FhOGRhNTI0ZTlmMjco2N0BIiBlZjE2MGM5Y2E1ZTkzNDIwOTUyMzNkN2Q5Yjc0ZGJmYRD0AxiQAw=="",""desc"":"""",""pagepath"":""?min_from=wljx_122--2&shareTagObj={\""tag\"":\""fail_give_coin\"",\""app_id\"":122,\""channel_id\"":\""818\"",\""product_id\"":121,\""share_user_id\"":76633568,\""game_id\"":0,\""room_id\"":9886,\""material_id\"":1683,\""material\"":\""card\"",\""share_user_open_id\"":\""o3twb5CfT46vr-i6nv4Q2fRlBfrE\"",\""share_user_prop\"":1,\""share_user_source\"":\""wljx_122--1\"",\""share_vip_value\"":4,\""share_g_count\"":8528,\""share_time\"":1692026516,\""fromunionid\"":\""\"",\""uselimit\"":0,\""method\"":2,\""ver\"":1,\""base_openid\"":\""76633568\"",\""share_first\"":\""\"",\""share_from\"":\""rxufWGAzrN4-QYuNMllTX0X4l9PqOdLw\"",\""type\"":\""share\"",\""func\"":\""fail_give_coin\"",\""wxid\"":\""\"",\""strategy_id\"":2632,\""strategy_type\"":1,\""content_type\"":3,\""func_type\"":1,\""share_time_rx\"":\""2023-08-14 23:21:56\""}&sign=38cf136c379832242749eab6c096e466"",""thumbAESKey"":""6465667465796A65626E6774736D7276"",""thumbFileId"":""306a0201020463306102010002047d79b52d02031e90380204d3c5f46d020464da46a10436323130353132383233375f313033333532353036385f656631363063396361356539333432303935323333643764396237346462666102010002026ee004000201010201000400"",""thumbHeight"":400,""thumbMD5"":""ef160c9ca5e9342095233d7d9b74dbfa"",""thumbSize"":28376,""thumbUrl"":"""",""thumbWidth"":500,""title"":""贵州人都在玩的捉鸡麻将，亲友约局免房卡！"",""type"":2,""username"":""gh_ac4f31cd2be0@app"",""version"":300,""weappIconUrl"":""http://wx.qlogo.cn/mmhead/Q3auHgzwzM6PFSA5g237kF0XXV6qKRlgQXTxatI5rryE3tDDwWmWHg/96""}",1,2023/8/14 23:22,8,,
wmFS0DDgAAwwMuTWnfB4SnvWoYWQYT5w,17308401160,"{""appName"":""微乐捉鸡麻将"",""appid"":""wx42d9f2c54689a299"",""bThumbData"":""CpkGCsgEaHR0cHM6Ly9pbXVuaW9uLndlaXhpbi5xcS5jb20vY2dpLWJpbi9tbWFlLWJpbi90cGRvd25sb2FkbWVkaWE/cGFyYW09djFfMTgzNjNmYTU1Yzg5NjZmZjFhMmM3Mzc2MzhkYmVkMjBjYmE3NWIwYTQyN2M0M2YxNDE4N2Y1YmEyNDRiODlhYzIyYTc2NWE3YzMxOTVhMTUxZWE2OTY5YTZmZGRlNjAxNThkODcyOTdkZWVlMTQzZDM0NTg0YWJjODA1MTcxZmVjZjI5MDlmNDk2ZWRhNmU0YzllM2RiYTdjNDkxNGMwOTFkYmEzMDg4MzhhYzdhN2JkOGE0NzU0NGJkMjEwMDAwNjcyZDFmZWFiYzIzYzdlODVjYzE2YTIxNjhjNTE1NDE0YTk1ZTQwYmU3MWQwNmQ4NjVjMzZiYzc4Mjk4NDg4OGI1ZDBjNmM0YjNjZTczNDNjZGU1NjFmZmI0YjFhMDgyMmJhMDI3ZTkwM2RjYWUyMmM4ZDQ3MmRjNWJmOGIzYjM4YjZkZjRhZDg3NDdmMjcwMWVhNzhlMGQzOWU3ZWE5ZjNjMjZjMWU2ZTY1OWZhNmZhMzRiYTdiMzI2MDRiMjc2NGFlZTdmZjQxMzJjOTNmNzM5MjRjY2ZiY2IxNDE3MjQxNjJhMGQ3OTY2NzE5Y2E4YjRlNmI2MDczYTc5NjcxNzY5MzcyMmU1OWIyNjUyZjRmOWYxZTJkNjZkMTFkMDE0Y2EwMjc1M2ZkZjk0MjI2MWY5NTIyNmFmM2VkMTczMTESIDEwMzAwMjgxNjc2Y2Q0MDIzYzczYjQ3NDY0OWI4YzA2GoMBdjFfMTgzNjNmYTU1Yzg5NjZmZjFhMmM3Mzc2MzhkYmVkMjBjYmE3NWIwYTQyN2M0M2YxNDE4N2Y1YmEyNDRiODlhYzU2NzEwMmNkMmYzYWI2MmI2YmMxODlhMWEwN2E5YjkxMzU2ZjBhZWY4NTJjYmJlZGVmMmRjMTZiOWY1YTQ1NTEo2N0BIiBlZjE2MGM5Y2E1ZTkzNDIwOTUyMzNkN2Q5Yjc0ZGJmYRD0AxiQAw=="",""desc"":"""",""pagepath"":""?min_from=wljx_122--2&shareTagObj={\""tag\"":\""fail_give_coin\"",\""app_id\"":122,\""channel_id\"":\""818\"",\""product_id\"":121,\""share_user_id\"":76633568,\""game_id\"":0,\""room_id\"":9886,\""material_id\"":1683,\""material\"":\""card\"",\""share_user_open_id\"":\""o3twb5CfT46vr-i6nv4Q2fRlBfrE\"",\""share_user_prop\"":1,\""share_user_source\"":\""wljx_122--1\"",\""share_vip_value\"":4,\""share_g_count\"":8528,\""share_time\"":1692026528,\""fromunionid\"":\""\"",\""uselimit\"":0,\""method\"":2,\""ver\"":1,\""base_openid\"":\""76633568\"",\""share_first\"":\""\"",\""share_from\"":\""rxufWGAzrN4-QYuNMllTX0X4l9PqOdLw\"",\""type\"":\""share\"",\""func\"":\""fail_give_coin\"",\""wxid\"":\""\"",\""strategy_id\"":2632,\""strategy_type\"":1,\""content_type\"":3,\""func_type\"":1,\""share_time_rx\"":\""2023-08-14 23:22:08\""}&sign=c696e572dd9a26d03ab8650c6c16f469"",""thumbAESKey"":""686E7A73756163687A7074766D687876"",""thumbFileId"":""306a0201020463306102010002047d79b52d02031e9038020469c7f46d020464da46a50436323130353132383233375f313538323333303033325f656631363063396361356539333432303935323333643764396237346462666102010002026ee004000201010201000400"",""thumbHeight"":400,""thumbMD5"":""ef160c9ca5e9342095233d7d9b74dbfa"",""thumbSize"":28376,""thumbUrl"":"""",""thumbWidth"":500,""title"":""贵州人都在玩的捉鸡麻将，亲友约局免房卡！"",""type"":2,""username"":""gh_ac4f31cd2be0@app"",""version"":300,""weappIconUrl"":""http://wx.qlogo.cn/mmhead/Q3auHgzwzM6PFSA5g237kF0XXV6qKRlgQXTxatI5rryE3tDDwWmWHg/96""}",1,2023/8/14 23:22,8,,
wmFS0DDgAAwwMuTWnfB4SnvWoYWQYT5w,17308401160,[太阳],0,2023/8/15 9:13,8,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,「互联网卡客服小桃子：亲亲您好，13348706495您这边缴纳号码的欠费76.95元+本月的月租费39元，充值成功后可以减免您缴纳的76.95元哦，现在有充值活动哦，还可以赠送流量呢]啥意思,1,2023/10/8 17:15,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,"「互联网卡客服小桃子：亲亲您好，13348706495您这边缴纳号码的欠费76.95元+本月的月租费39元，充值成功后可以减免您缴纳的76.95元哦，现在有充值活动哦，还可以赠送流量呢」
- - - - - - - - - - - - - - -
啥意思",1,2023/10/8 17:15,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,您好，请您提供下您的11位手机号码（勿空格）、机主姓名以及身份证号码后6位，谢谢！,0,2023/10/8 17:17,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,您好，请您提供下您的11位手机号码（勿空格）、机主姓名以及身份证号码后6位，谢谢！,0,2023/10/8 17:17,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,您参加活动的话 欠费76.95可以为您抹除哦,0,2023/10/8 17:20,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,怎么参加,1,2023/10/8 17:20,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,您好，请您提供下您的11位手机号码（勿空格）、机主姓名以及身份证号码后6位，谢谢！,0,2023/10/8 17:21,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,提供一下信息 亲 这边为您查询一下哦,0,2023/10/8 17:21,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,方便为您抹除欠费哦,0,2023/10/8 17:22,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,https://wework.qpic.cn/wwpic/wwwx_49fa7b11b6dfc93e699f58e364e9097a/0,0,2023/10/8 17:27,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,"【号卡欠费一年提醒】尊敬的用户您好，您名下有一张湖南电信号卡已停机超过一年。 现在恢复使用可享限时大流量，超值会员等赠送优惠，历史欠费也能减免抹除。
 期待您的回复，客服这边将活动内容与您详细介绍一下！！
 （温馨提示：名下有欠费号卡会影响您的日常号卡业务办理，您有任何问题也可以向客服咨询。）",0,2023/10/24 15:23,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,"【号卡欠费一年提醒】尊敬的用户您好，您名下有一张湖南电信号卡已停机超过一年。 现在恢复使用可享限时大流量，超值会员等赠送优惠，历史欠费也能减免抹除。
 期待您的回复，客服这边将活动内容与您详细介绍一下！！
 （温馨提示：名下有欠费号卡会影响您的日常号卡业务办理，您有任何问题也可以向客服咨询。）",0,2023/10/25 12:58,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,【号卡欠费一年提醒】【叮??您有一笔话费即将到账】双十一狂欢季，流量，话费限时派发中，满足条件即可领取????请尽快联系我们咨询详情??,0,2023/11/8 14:22,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,"【号卡欠费一年提醒】【叮??双11开抢】
??如期而至一路同行，不忘初心，感恩回馈 ??凭此条信息联系客服充值复机可领取优惠一份?? 、优惠多多、礼品多多",0,2023/11/9 14:28,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,https://wework.qpic.cn/wwpic/wwwx_387bba1716319e7a1f832fb408525926/0,1,2023/11/9 15:51,9,,
wmFS0DDgAAGXbJMmvm4fkCAjxu3xQ1ow,17308401160,亲亲13348706495显示欠费号卡是这个 您可以提供下全名客服这边帮您核实哦~,0,2023/11/9 15:54,9,用户想要了解并参加充值活动和赠送流量的相关优惠,服务咨询
wmFS0DDgAAH_b0xGmDggkc6TN1wYBZKw,17308401160,"【号卡欠费一年提醒】尊敬的用户您好，您名下有一张湖南电信号卡已停机超过一年。 现在恢复使用可享限时大流量，超值会员等赠送优惠，历史欠费也能减免抹除。
 期待您的回复，客服这边将活动内容与您详细介绍一下！！
 （温馨提示：名下有欠费号卡会影响您的日常号卡业务办理，您有任何问题也可以向客服咨询。）",0,2023/10/26 14:40,10,,
wmFS0DDgAAH_b0xGmDggkc6TN1wYBZKw,17308401160,https://zlhx-scrm-obs.obs.cn-east-3.myhuaweicloud.com:443/364f0465-f8c3-4fb5-bb8f-52d273a83992_1698302460826.jpg,1,2023/10/26 14:40,10,,
wmFS0DDgAAH_b0xGmDggkc6TN1wYBZKw,17308401160,https://zlhx-scrm-obs.obs.cn-east-3.myhuaweicloud.com:443/cd4a46b4-8e38-4f79-a359-21c70910be0f_1698302478679.jpg,1,2023/10/26 14:41,10,,
wmFS0DDgAAH_b0xGmDggkc6TN1wYBZKw,17308401160,[微笑][微笑][微笑][微笑],1,2023/10/26 14:41,10,,
wmFS0DDgAAH_b0xGmDggkc6TN1wYBZKw,17308401160,谁停机发谁  不要总是发我……,1,2023/10/26 14:42,10,,
wmFS0DDgAAH_b0xGmDggkc6TN1wYBZKw,17308401160,给您带来不好的体验，确实非常抱歉了,0,2023/10/26 15:05,10,用户希望解决停机问题,投诉
wmFS0DDgAAdshV2-pf-zVlNoDtv2yKXg,17308401160,https://zlhx-scrm-obs.obs.cn-east-3.myhuaweicloud.com:443/85e4f0e8-8e4a-4f39-aa9d-e4a35a24b4ce_1693331620402.jpg,1,2023/8/30 1:53,11,,
wmFS0DDgAAdshV2-pf-zVlNoDtv2yKXg,17308401160,什么时候有这个活动,1,2023/8/30 1:53,11,,
wmFS0DDgAAdshV2-pf-zVlNoDtv2yKXg,17308401160,亲亲您好，很高兴为您服务，请问有什么可以帮您,0,2023/8/30 9:16,11,,
wmFS0DDgAAdshV2-pf-zVlNoDtv2yKXg,17308401160,17700241781请问是这个号码吗,0,2023/8/30 9:16,11,,
wmFS0DDgAAdshV2-pf-zVlNoDtv2yKXg,17308401160,这个活动一直有的哦，您这边现在参与的话，赠送的话费会自动延期延续12月开始赠送哦，预存和赠送的费用都是立即到账哦,0,2023/8/30 9:17,11,,
wmFS0DDgAAdshV2-pf-zVlNoDtv2yKXg,17308401160,《充50得170元话费》亲亲您好，点击链接参与存费送费活动：http://flow.hn.189.cn/hnfx/hd/cfsf50120xy?isWx=1&clientid=qiyewxzry（充值的50元立即到账，赠送的120元从次月开始返还，每个月返还10元），比您自行充值要划算哦,0,2023/8/30 9:17,11,,
wmFS0DDgAAdshV2-pf-zVlNoDtv2yKXg,17308401160,[价值25元会员免费送]悄咪咪说下:如果您成功办理了(存50送120)而且手机号码没有注册过bilibili的话，可以凭借办理截图找客服获取大会员领取链接哦!!完全免费体验一个月!,0,2023/8/30 10:35,11,用户询问活动时间，意图和诉求为获取活动信息，反馈类型为服务咨询。,服务咨询
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,"【影视APP会员限时10元/月】 家人们谁懂啊，《西出玉门》泰好看辣！！！每月10元，就能拥有价值30元的影视月会员，腾讯视频、爱奇艺、优酷、B站、芒果TV等王牌会员权益每月任选一。
马上办理，立即承包你的观剧片单。快快回复我给您提供办理链接吧",0,2023/9/11 18:42,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,你好,1,2023/9/12 21:57,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,这是什么意思没看懂,1,2023/9/12 21:57,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,亲亲，因人工接入需要一定时间，您可先提供您的问题、问题号码、姓名以及身份证后6位给客服，客服接入后为您处理，谢谢??(??ω??)?? （人工工作时间：9:00-21:30）,0,2023/9/12 21:58,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,您好，是推荐您号卡可以办理会员哦,0,2023/9/12 21:59,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,您好，推荐您可以开通，领取会员权益，互联网畅享权益包10元，各大APP会员任选一，追剧听歌不用愁，优质用户的福音哦，点击链接办理https://qy.hn.189.cn/hn_userEquitys/crm/hlwkcxqyb?channel=QWKF&usefrom=qiyewxxly,0,2023/9/12 21:59,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,"【温馨提醒】亲亲，请及时使用您的互联网卡，湖南电信企微客服为您提供查询服务及专属福利：

1、关注湖南电信微信公众号查询当月话费、套餐消费情况；
2、登录互联网卡专区（ https://flow.hn.189.cn/hnfx/hkly/autos?clientid=WXHL77 ）签到可得话费流量；
3、回复“11”至湖南电信微信公众号进行实名验证复机。

如有其他问题，欢迎来咨询我哦！",0,2023/10/6 19:58,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,"【停机首次提醒】尊敬的用户，您好，您的号码已欠费超过七天，已无法接听电话，请核实后尽快充值！ 

1、复机后可以联系客服领取神秘礼物（流量/会员/语音） 
2、话费充值9.95折优惠 

快回复客服给您发送9.95折充值链接吧！！有任何问题也可发消息给我们，感谢您对电信业务的支持。 

（如您已复机，请忽略本次提醒，很抱歉打扰到您）",0,2023/12/15 15:01,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,"【停机二次提醒】尊敬的用户，您好，您的号码已欠费超过七天，已无法接听电话，请核实后尽快充值！ 

1、复机后可以联系客服领取神秘礼物（流量/会员/语音） 
2、话费充值9.95折优惠 

快回复客服给您发送9.95折充值链接吧！！有任何问题也可发消息给我们，感谢您对电信业务的支持。 

（如您已复机，请忽略本次提醒，很抱歉打扰到您）",0,2023/12/16 19:02,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,你好我电话多少啊,1,2023/12/16 19:04,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,亲亲，因人工接入需要一定时间，您可先提供您的问题、问题号码、姓名以及身份证后6位给客服，客服接入后为您处理，谢谢??(??ω??)?? （人工工作时间：9:00-21:30）,0,2023/12/16 19:05,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,我也没有你那边的电话号码啊,1,2023/12/16 19:05,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,高金胜,1,2023/12/16 19:06,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,29461X,1,2023/12/16 19:06,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,亲，您需要办理什么业务呢？,0,2023/12/16 19:07,12,,
wmFS0DDgAAeVWhxK_T9OOihdAiET7tSg,17308401160,你老发说我欠费停机的话，,1,2023/12/16 19:09,12,,
